"","Age","PY","Death","sex","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,1299868,55,"m",0,0,0,0,0,0,0,0,0,0,0
"2",2,1240595,49,"m",1,0,0,0,0,0,0,0,0,0,0
"3",3,1045453,38,"m",0,1,0,0,0,0,0,0,0,0,0
"4",4,795776,26,"m",0,0,1,0,0,0,0,0,0,0,0
"5",5,645991,19,"m",0,0,0,1,0,0,0,0,0,0,0
"6",6,599729,17,"m",0,0,0,0,1,0,0,0,0,0,0
"7",7,568109,22,"m",0,0,0,0,0,1,0,0,0,0,0
"8",8,506475,21,"m",0,0,0,0,0,0,1,0,0,0,0
"9",9,368751,18,"m",0,0,0,0,0,0,0,1,0,0,0
"10",10,252581,11,"m",0,0,0,0,0,0,0,0,1,0,0
"11",11,140053,10,"m",0,0,0,0,0,0,0,0,0,1,0
"12",12,81850,4,"m",0,0,0,0,0,0,0,0,0,0,1
"13",1,1300402,37,"f",0,0,0,0,0,0,0,0,0,0,0
"14",2,1217896,29,"f",1,0,0,0,0,0,0,0,0,0,0
"15",3,1045801,23,"f",0,1,0,0,0,0,0,0,0,0,0
"16",4,810260,12,"f",0,0,1,0,0,0,0,0,0,0,0
"17",5,665612,7,"f",0,0,0,1,0,0,0,0,0,0,0
"18",6,633646,12,"f",0,0,0,0,1,0,0,0,0,0,0
"19",7,650686,9,"f",0,0,0,0,0,1,0,0,0,0,0
"20",8,600455,19,"f",0,0,0,0,0,0,1,0,0,0,0
"21",9,474609,13,"f",0,0,0,0,0,0,0,1,0,0,0
"22",10,376781,14,"f",0,0,0,0,0,0,0,0,1,0,0
"23",11,255412,5,"f",0,0,0,0,0,0,0,0,0,1,0
"24",12,213603,3,"f",0,0,0,0,0,0,0,0,0,0,1
